scenario_id,scenario_type,cell_id,model_family,primary_target,model_name,forecast_origin,origin_position,origin_soh,origin_below_threshold,horizon,rul_lead_horizon,cycle,horizon_index,y_true_capacity,y_pred_capacity_raw,y_pred_capacity,y_true_soh,y_pred_soh,initial_capacity,true_eol_cycle,true_rul,y_pred_capacity_q10,y_pred_capacity_q50,y_pred_capacity_q90,y_pred_soh_q10,y_pred_soh_q50,y_pred_soh_q90
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,517,1,0.9377656642369345,0.8094836161050054,0.8094836161050054,0.8251913403351903,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,518,2,0.9378904750347417,0.8094836161050054,0.8094836161050054,0.8253011681882014,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,519,3,0.8091009327907841,0.8094836161050054,0.8094836161050054,0.7119722001544609,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,520,4,0.937034901977583,0.8094836161050054,0.8094836161050054,0.8245483026219771,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,521,5,0.9368321853779946,0.8094836161050054,0.8094836161050054,0.8243699211894914,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,522,6,0.9364191769267549,0.8094836161050054,0.8094836161050054,0.8240064924455679,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,523,7,0.935042208966884,0.8094836161050054,0.8094836161050054,0.8227948229638012,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,524,8,0.9345710358597188,0.8094836161050054,0.8094836161050054,0.8223802119552526,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,525,9,0.932002046154026,0.8094836161050054,0.8094836161050054,0.8201196172892357,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
eol_o516_lead30_h34,eol_crossing,CS2_35,baseline,capacity_ah,Persistence,516,511,0.7123089441503537,True,34,30.0,526,10,0.9291163192232569,0.8094836161050054,0.8094836161050054,0.8175803082009887,0.7123089441503537,1.1364220858837624,546,30,,0.8094836161050054,,,0.7123089441503537,
