experiment_name,cell_id,model_family,primary_target,model_name,cycle,y_true_capacity,y_pred_capacity_raw,y_pred_capacity,y_true_soh,y_pred_soh,initial_capacity,train_end_cycle,horizon_index,y_pred_capacity_q10,y_pred_capacity_q50,y_pred_capacity_q90,y_pred_soh_q10,y_pred_soh_q50,y_pred_soh_q90
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,382,0.9853085369882032,0.97888297,0.97888297,0.8670269165192767,0.86137277,1.1364220858837624,381,1,0.9726523,0.97888297,0.9840101,0.85589004,0.86137277,0.86588436
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,383,0.9876338304512692,0.97758317,0.97758317,0.8690730695217131,0.86022896,1.1364220858837624,381,2,0.9696194,0.97758317,0.9842772,0.85322124,0.86022896,0.8661194
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,384,0.9879773096271016,0.9772066,0.9772066,0.8693753156502414,0.8598976,1.1364220858837624,381,3,0.96753013,0.9772066,0.98542446,0.85138273,0.8598976,0.86712897
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,385,0.9797263057369748,0.9763894,0.9763894,0.8621148056754547,0.85917854,1.1364220858837624,381,4,0.96558106,0.9763894,0.98580295,0.84966767,0.85917854,0.86746204
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,386,0.9795257148043994,0.9750044,0.9750044,0.8619382947337307,0.85795975,1.1364220858837624,381,5,0.9634023,0.9750044,0.98541325,0.8477504,0.85795975,0.8671191
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,387,0.9790448554746868,0.97410136,0.97410136,0.8615151602877482,0.85716516,1.1364220858837624,381,6,0.96217513,0.97410136,0.985189,0.8466706,0.85716516,0.8669218
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,388,0.978091000608348,0.9744401,0.9744401,0.8606758111777766,0.85746324,1.1364220858837624,381,7,0.961941,0.9744401,0.9862421,0.8464646,0.85746324,0.86784846
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,389,0.976050458950148,0.97390354,0.97390354,0.8588802268754764,0.85699105,1.1364220858837624,381,8,0.96147233,0.97390354,0.9856219,0.84605217,0.85699105,0.8673027
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,390,0.9825895795422994,0.97402585,0.97402585,0.864634357029561,0.8570987,1.1364220858837624,381,9,0.96173817,0.97402585,0.98581684,0.8462861,0.8570987,0.86747426
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,391,0.9840596919999208,0.97405005,0.97405005,0.8659279894535367,0.85712,1.1364220858837624,381,10,0.9619369,0.97405005,0.9858928,0.84646094,0.85712,0.8675411
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,392,0.97977243906206,0.9746313,0.9746313,0.8621554009134904,0.8576315,1.1364220858837624,381,11,0.96251506,0.9746313,0.98706967,0.8469697,0.8576315,0.86857665
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,393,0.975387382811178,0.97434753,0.97434753,0.8582967498846589,0.85738176,1.1364220858837624,381,12,0.9621234,0.97434753,0.9869197,0.8466251,0.85738176,0.8684447
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,394,0.9763034070590422,0.97350854,0.97350854,0.8591028097626239,0.8566435,1.1364220858837624,381,13,0.96121466,0.97350854,0.98649424,0.84582543,0.8566435,0.8680703
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,395,0.9771753570536532,0.97363275,0.97363275,0.8598700862925701,0.8567528,1.1364220858837624,381,14,0.9607754,0.97363275,0.98729837,0.8454389,0.8567528,0.86877793
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,396,0.9788001524777564,0.97357374,0.97357374,0.861299832725947,0.85670084,1.1364220858837624,381,15,0.96019715,0.97357374,0.98762363,0.84493005,0.85670084,0.86906415
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,397,0.9796175102927832,0.97291857,0.97291857,0.8620190706087547,0.85612434,1.1364220858837624,381,16,0.95940477,0.97291857,0.98736227,0.8442328,0.85612434,0.86883414
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,398,0.98309746873883,0.97172433,0.97172433,0.8650812765349448,0.85507345,1.1364220858837624,381,17,0.9580471,0.97172433,0.98640406,0.84303814,0.85507345,0.867991
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,399,0.9837373623081618,0.9733665,0.9733665,0.8656443539137466,0.8565185,1.1364220858837624,381,18,0.95897543,0.9733665,0.98861825,0.843855,0.8565185,0.8699393
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,400,0.9839873415374356,0.9743615,0.9743615,0.8658643243212026,0.85739404,1.1364220858837624,381,19,0.95939523,0.9743615,0.9900635,0.8442244,0.85739404,0.8712111
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,401,0.9841359170235932,0.97366136,0.97366136,0.8659950640243492,0.85677797,1.1364220858837624,381,20,0.95843524,0.97366136,0.98918617,0.8433797,0.85677797,0.8704391
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,402,0.984129918956974,0.9721814,0.9721814,0.8659897859972026,0.85547566,1.1364220858837624,381,21,0.95736307,0.9721814,0.9876025,0.8424362,0.85547566,0.8690455
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,403,0.9851883016388284,0.9710176,0.9710176,0.8669211148537969,0.8544516,1.1364220858837624,381,22,0.9561124,0.9710176,0.9864416,0.84133565,0.8544516,0.868024
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,404,0.9855350466553858,0.970632,0.970632,0.8672262347743479,0.85411227,1.1364220858837624,381,23,0.9553006,0.970632,0.98619956,0.84062135,0.85411227,0.867811
pre_eol_70_split,CS2_35,foundation_model,capacity_ah,ChronosBolt_Base,405,0.9856903266912695,0.9706898,0.9706898,0.8673628741777989,0.8541631,1.1364220858837624,381,24,0.95491624,0.9706898,0.98614633,0.8402831,0.8541631,0.8677642
